text,crisis
I'm having a hard time sleeping lately.,0
I want to disappear and never come back.,1
I feel lonely since moving to a new city.,0
"Nobody can help me, I've already decided.",1
"I've tried everything and nothing helps, so I'm giving up.",1
I have bad days sometimes but mostly I'm okay.,0
Work stress is really getting to me lately.,0
I broke up with my partner and I'm really sad.,0
I wish things were different but I know they'll improve.,0
I've been stockpiling pills for weeks now.,1
Exercise always lifts my mood when I'm feeling down.,0
I have a plan to kill myself this weekend.,1
I'm worried about my parents' health.,0
Today was overwhelming but I'll get through it.,0
I've already written my goodbye note.,1
No one would care if I stopped existing tomorrow.,1
I've been cutting myself to deal with the pain.,1
I don't see the point in living any more.,1
I've been journaling to manage my anxiety.,0
I failed my exam and I'm so disappointed in myself.,0
Talking to friends really helped me feel less alone.,0
I'm going to therapy to work through my issues.,0
I'm grateful I have support from my family.,0
I keep fantasizing about driving off a bridge.,1
Every day I think about how I'd do it.,1
I finally understand why people choose to end it.,1
I just can't see a future for myself.,1
Sometimes I feel like nobody understands me.,0
I feel really disappointed with how things turned out.,0
"Today was such a tough day at work, feeling exhausted.",0
The pain is so unbearable I just want it to stop permanently.,1
"I can't take this anymore, I want to end my life.",1
Things are hard but I'm taking it one day at a time.,0
I'm going through a rough patch in my relationship.,0
I'm really stressed about this deadline approaching.,0
I haven't felt happy in a while but I'll figure it out.,0
Nobody would miss me if I was gone forever.,1
I hurt myself again tonight and it's getting worse.,1
I've been thinking about hurting myself every night.,1
I called a friend when I was feeling low and it helped.,0
I had the worst anxiety attack during the presentation.,0
I'm struggling to stay motivated at work.,0
I feel like a burden to everyone I know.,1
I cried a lot today but I feel a bit better now.,0
I feel completely hopeless and trapped.,1
My family would be better off without me around.,1
I'm saying goodbye to everyone without them knowing.,1
"Even though it's tough, I believe things will get better.",0
I'm reaching out because I don't know how much longer I can hold on.,1
Life is not worth living without them.,1
I'm feeling really down today for no reason.,0
I'm not going to be here much longer.,1
My dog passed away last week and I miss him so much.,0
I need to practice more self-care this week.,0
I'm exhausted from dealing with so many problems.,0
